Sl no,District,Month,No. of Female patient (Indoor admission),No. of Child patient (Indoor admission),No. of BCC,BCC performed by SACMO,"Counseling on IYCF, IFA, Vitamin-A & Hand washing",Received IFA (Pregnant & Child mother),Received MNP Sachet (6-23 months),Breast feeding within 1-hour of birth (0-<6 months child),Exclusive Breast feeding up to 6 months,Complimentary feeding after 6 months,Feeding Tablet Vitamin A (6-59months Child),Received Tablet anti-helminthics (24-59months Child),Feeding Zink pill with ORS suffering form diarrhoea,Identifying Suffering from MAM,Suffering from SAM & Referred,Identifying Child Stunting,Identifying Child Wasting,Identifying Child Under weight
Shariatpur DistrictJune 2017,Shariatpur District,June 2017,0,0,38,24,1815,2779,199,233,302,795,82,266,40,84,21,97,101,119
Faridpur DistrictJune 2017,Faridpur District,June 2017,170,0,185,155,1759,2469,73,988,1850,2383,30,513,52,35,2,19,27,38
Rajbari DistrictJune 2017,Rajbari District,June 2017,17,0,84,56,777,2104,19,280,399,655,0,139,17,24,5,4,5,11
Dhaka DistrictJune 2017,Dhaka District,June 2017,1546,4400,1905,66,1674,37458,630,2090,1704,2807,2033,1330,1265,1254,222,596,560,702
Gazipur DistrictJune 2017,Gazipur District,June 2017,0,0,92,9,595,3047,52,405,851,1205,222,193,34,75,0,3,1,1
Munshiganj DistrictJune 2017,Munshiganj District,June 2017,2,1,226,52,732,1578,80,463,793,1724,87,520,19,46,0,45,49,257
Narayanganj DistrictJune 2017,Narayanganj District,June 2017,202,68,64,11,229,4957,17,702,1255,1320,57,71,79,34,52,9,7,15
Narshingdi DistrictJune 2017,Narshingdi District,June 2017,0,0,138,27,1722,4124,65,518,1077,1323,10,276,5,21,2,3,5,9
Manikganj DistrictJune 2017,Manikganj District,June 2017,0,0,163,80,843,2786,233,359,534,497,15,329,13,17,28,10,13,16
Tangail DistrictJune 2017,Tangail District,June 2017,43,0,278,140,2899,9373,78,1376,2051,3048,5,733,42,224,47,107,94,171
Kishoreganj DistrictJune 2017,Kishoreganj District,June 2017,22,24,190,82,3642,8609,245,1369,1899,2869,35,898,54,164,35,100,98,169
Dhaka DivisionJune 2017,Dhaka Division,June 2017,2052,4493,3454,715,18098,81539,3102,9792,13801,19846,2675,6244,1699,2068,453,1082,1023,1604
Gopalganj DistrictJuly 2017,Gopalganj District,July 2017,0,0,43,0,1088,3535,188,677,1117,1329,35,654,45,121,44,57,32,39
Madaripur DistrictJuly 2017,Madaripur District,July 2017,1,0,28,2,626,1197,20,0,0,0,13,345,39,19,13,38,55,67
Shariatpur DistrictJuly 2017,Shariatpur District,July 2017,0,4,57,25,2054,1780,285,229,366,777,73,384,71,59,20,61,46,43
Faridpur DistrictJuly 2017,Faridpur District,July 2017,52,0,201,62,2293,3299,154,1103,2075,3020,74,670,100,34,17,14,16,38
Rajbari DistrictJuly 2017,Rajbari District,July 2017,31,0,90,36,638,1701,24,311,336,666,0,122,275,0,0,6,7,0
Dhaka DistrictJuly 2017,Dhaka District,July 2017,1538,439,1883,396,19324,42600,547,2180,1761,2899,2478,1923,2102,1488,186,828,858,1029
Gazipur DistrictJuly 2017,Gazipur District,July 2017,148,38,121,94,525,4576,128,423,735,1157,168,364,68,54,16,15,19,20
Munshiganj DistrictJuly 2017,Munshiganj District,July 2017,3,3,216,89,899,2411,51,389,616,1578,4,577,35,37,0,46,55,62
Narayanganj DistrictJuly 2017,Narayanganj District,July 2017,284,48,60,32,871,5807,0,754,1183,1515,55,93,65,145,89,18,8,12
Narshingdi DistrictJuly 2017,Narshingdi District,July 2017,0,0,173,89,2065,8681,73,568,1000,1726,10,387,46,47,11,5,4,9
Manikganj DistrictJuly 2017,Manikganj District,July 2017,88,0,176,105,932,2449,21,289,464,582,0,382,9,33,4,31,32,26
Tangail DistrictJuly 2017,Tangail District,July 2017,0,0,311,237,3512,11960,357,1360,2080,2748,156,960,41,313,58,113,106,188
Kishoreganj DistrictJuly 2017,Kishoreganj District,July 2017,118,52,223,183,3422,9441,42,1195,1957,3754,5,697,44,352,8,145,117,129
Dhaka DivisionJuly 2017,Dhaka Division,July 2017,2263,584,3582,1350,38249,99437,1890,9478,13690,21751,3071,7558,2940,2702,466,1377,1355,1662
Gopalganj DistrictAugust 2017,Gopalganj District,August 2017,0,0,55,44,1184,4263,171,574,1311,2143,196,315,92,31,30,33,29,29
Madaripur DistrictAugust 2017,Madaripur District,August 2017,84,4,58,8,1568,1495,18,64,203,246,0,353,22,36,30,41,43,57
Shariatpur DistrictAugust 2017,Shariatpur District,August 2017,0,0,369,143,1785,2433,206,295,424,863,63,273,88,80,28,82,68,76
Faridpur DistrictAugust 2017,Faridpur District,August 2017,361,215,263,468,2655,3806,354,1168,1939,3238,326,768,48,32,12,15,22,31
Rajbari DistrictAugust 2017,Rajbari District,August 2017,38,0,107,85,1104,1765,101,311,424,669,5,172,100,32,7,46,8,15
Dhaka DistrictAugust 2017,Dhaka District,August 2017,1764,446,2814,86,14424,22462,607,2244,1845,2988,41483,1867,2601,998,101,1158,1042,939
Gazipur DistrictAugust 2017,Gazipur District,August 2017,102,5,116,94,708,4327,127,697,936,1511,788,1637,119,143,18,24,48,58
Munshiganj DistrictAugust 2017,Munshiganj District,August 2017,27,0,182,88,1040,4082,200,523,1126,2632,90,494,10,55,1,54,55,148
Narayanganj DistrictAugust 2017,Narayanganj District,August 2017,227,48,75,28,1431,8784,59,682,1186,1394,4110,152,91,209,103,25,34,35
Narshingdi DistrictAugust 2017,Narshingdi District,August 2017,0,0,154,86,2125,10076,146,769,1288,2029,5,465,20,6,0,2,3,9
Manikganj DistrictAugust 2017,Manikganj District,August 2017,0,0,157,156,1059,2252,69,433,585,520,11,441,8,18,2,3,16,18
Tangail DistrictAugust 2017,Tangail District,August 2017,0,0,344,244,3853,12050,96,1283,2218,3181,1339,1891,66,322,56,173,158,247
Kishoreganj DistrictAugust 2017,Kishoreganj District,August 2017,164,81,219,176,3664,6335,9,1231,2114,2981,0,844,28,216,19,126,117,159
Dhaka DivisionAugust 2017,Dhaka Division,August 2017,2767,799,4913,1706,36600,84130,2163,10274,15599,24395,48416,9672,3293,2178,407,1782,1643,1821
Gopalganj DistrictSeptember 2017,Gopalganj District,September 2017,0,0,51,8,1048,1904,104,779,1072,1356,185,353,18,36,22,33,29,22
Madaripur DistrictSeptember 2017,Madaripur District,September 2017,68,0,48,72,531,1015,104,0,10,8,55,281,53,24,9,31,30,42
Shariatpur DistrictSeptember 2017,Shariatpur District,September 2017,0,1,61,28,1728,2535,167,529,795,1129,97,323,77,117,27,109,129,118
Faridpur DistrictSeptember 2017,Faridpur District,September 2017,341,213,206,253,3212,3035,48,1090,1899,2981,6,338,110,34,16,22,28,19
Rajbari DistrictSeptember 2017,Rajbari District,September 2017,39,0,90,70,649,1380,140,371,440,749,7,99,184,79,7,24,26,28
Dhaka DistrictSeptember 2017,Dhaka District,September 2017,1835,627,2207,288,19224,44158,732,2571,1752,2770,4259,1645,2211,985,145,1135,1061,1221
Gazipur DistrictSeptember 2017,Gazipur District,September 2017,86,3,167,94,580,3815,49,686,839,1035,81,335,86,87,1,23,42,23
Munshiganj DistrictSeptember 2017,Munshiganj District,September 2017,7,7,257,62,828,2101,148,602,1062,2380,16,469,14,17,0,55,58,91
Narayanganj DistrictSeptember 2017,Narayanganj District,September 2017,216,55,67,35,746,6851,66,749,1284,1581,28,93,41,70,112,28,41,50
Narshingdi DistrictSeptember 2017,Narshingdi District,September 2017,0,0,160,58,2687,6411,79,767,1240,1449,22,388,17,14,1,4,5,17
Manikganj DistrictSeptember 2017,Manikganj District,September 2017,0,0,185,109,899,1796,67,313,451,467,26,485,10,14,0,15,5,7
Tangail DistrictSeptember 2017,Tangail District,September 2017,0,6,336,267,3754,9911,85,1446,2117,3772,23,1013,74,285,50,152,119,210
Kishoreganj DistrictSeptember 2017,Kishoreganj District,September 2017,97,27,178,208,2858,8168,169,1710,2061,3708,12,584,73,202,14,182,167,240
Dhaka DivisionSeptember 2017,Dhaka Division,September 2017,2689,939,4013,1552,38744,93080,1958,11613,15022,23385,4817,6406,2968,1964,404,1813,1740,2088
Gopalganj DistrictOctober 2017,Gopalganj District,October 2017,0,0,45,8,1083,2056,157,775,1122,1479,300,305,24,36,27,31,24,21
Madaripur DistrictOctober 2017,Madaripur District,October 2017,58,4,82,4,925,852,101,141,306,273,6,182,19,43,9,24,36,47
Shariatpur DistrictOctober 2017,Shariatpur District,October 2017,0,0,57,36,2591,2214,178,736,984,1421,0,415,111,27,0,46,40,34
Faridpur DistrictOctober 2017,Faridpur District,October 2017,56,0,224,134,3079,3128,41,1441,2254,3830,2,353,0,115,17,39,32,44
Rajbari DistrictOctober 2017,Rajbari District,October 2017,33,0,104,80,905,1509,158,371,387,779,0,152,50,86,4,79,20,26
Dhaka DistrictOctober 2017,Dhaka District,October 2017,1723,559,3680,558,2964,19284,503,2261,1928,2717,2170,1353,2409,878,131,993,846,1096
Gazipur DistrictOctober 2017,Gazipur District,October 2017,129,45,135,107,1026,4459,316,829,1448,1944,91,284,154,158,2,35,48,54
Munshiganj DistrictOctober 2017,Munshiganj District,October 2017,31,5,212,86,930,1978,55,526,1095,2677,3,471,23,44,0,57,53,319
Narayanganj DistrictOctober 2017,Narayanganj District,October 2017,171,63,44,45,706,4073,72,686,1007,1368,8,196,9,55,103,39,19,26
Narshingdi DistrictOctober 2017,Narshingdi District,October 2017,0,0,147,71,3215,6978,90,746,1042,1765,10,376,20,8,4,4,6,9
Manikganj DistrictOctober 2017,Manikganj District,October 2017,10,4,173,108,1056,2010,32,280,467,475,31,510,1,0,0,4,4,7
Tangail DistrictOctober 2017,Tangail District,October 2017,4,4,358,411,3981,13377,94,1575,2326,4146,3,1103,48,328,58,205,126,240
Kishoreganj DistrictOctober 2017,Kishoreganj District,October 2017,91,114,226,204,3269,7408,179,1592,2130,3475,104,515,46,263,38,178,167,207
Dhaka DivisionOctober 2017,Dhaka Division,October 2017,2306,798,5487,1852,25730,69326,1976,11959,16496,26349,2728,6215,2914,2041,393,1734,1421,2130
Gopalganj DistrictNovember 2017,Gopalganj District,November 2017,0,0,42,8,1027,1648,50,684,1214,1600,335,250,8,28,11,21,29,27
Madaripur DistrictNovember 2017,Madaripur District,November 2017,67,0,28,8,735,729,14,115,173,99,50,366,9,21,18,29,31,36
Shariatpur DistrictNovember 2017,Shariatpur District,November 2017,0,0,53,36,1754,1944,26,831,1119,1635,105,295,71,55,0,35,41,47
Faridpur DistrictNovember 2017,Faridpur District,November 2017,55,0,197,97,1787,3291,43,1108,2000,3597,81,163,82,30,18,33,17,27
Rajbari DistrictNovember 2017,Rajbari District,November 2017,41,0,100,67,827,1195,90,353,382,688,4,98,255,72,27,40,19,34
Dhaka DistrictNovember 2017,Dhaka District,November 2017,2482,401,2966,138,19901,20442,555,2674,1854,2921,1932,20722,2920,1240,166,1358,1219,1384
Gazipur DistrictNovember 2017,Gazipur District,November 2017,3,69,153,94,826,3617,223,721,1147,1141,280,201,86,101,27,21,43,64
Munshiganj DistrictNovember 2017,Munshiganj District,November 2017,50,10,207,157,774,1917,54,625,1067,1996,0,340,7,57,0,61,58,63
Narayanganj DistrictNovember 2017,Narayanganj District,November 2017,260,52,56,34,1419,4724,52,744,1145,1589,40,105,91,102,94,20,19,27
Narshingdi DistrictNovember 2017,Narshingdi District,November 2017,0,1,173,84,2660,5767,262,763,1142,1917,20,334,0,12,9,16,22,34
Manikganj DistrictNovember 2017,Manikganj District,November 2017,0,0,191,92,1241,2400,57,356,520,891,0,389,8,0,0,6,7,20
Tangail DistrictNovember 2017,Tangail District,November 2017,0,0,312,252,4102,11828,307,1711,2271,4043,126,674,29,313,72,168,143,210
Kishoreganj DistrictNovember 2017,Kishoreganj District,November 2017,102,29,242,168,3605,4908,217,1666,2040,3128,6,184,53,276,49,178,227,200
Dhaka DivisionNovember 2017,Dhaka Division,November 2017,3060,562,4720,1235,40658,64410,1950,12351,16074,25245,2979,24121,3619,2307,491,1986,1875,2173
Gopalganj DistrictDecember 2017,Gopalganj District,December 2017,0,0,40,6,956,1656,4,239,376,687,44,276,10,23,15,21,21,24
Madaripur DistrictDecember 2017,Madaripur District,December 2017,78,0,30,31,687,783,39,176,107,62,0,149,4,30,20,33,31,26
Shariatpur DistrictDecember 2017,Shariatpur District,December 2017,0,0,42,31,1441,1778,58,698,838,1290,47,279,42,33,5,43,53,32
Faridpur DistrictDecember 2017,Faridpur District,December 2017,35,0,223,88,2975,2497,35,1391,2574,3813,9,406,116,30,22,14,16,31
Rajbari DistrictDecember 2017,Rajbari District,December 2017,30,0,93,73,664,1381,86,418,481,687,771,96,157,67,7,16,12,22
Dhaka DistrictDecember 2017,Dhaka District,December 2017,2546,355,1588,980,3428,20891,1152,1949,1972,2774,94948,1348,2732,1049,194,1419,1012,1239
Gazipur DistrictDecember 2017,Gazipur District,December 2017,139,138,114,89,1261,3841,618,734,1049,1306,3030,157,93,75,28,11,21,94
Munshiganj DistrictDecember 2017,Munshiganj District,December 2017,48,4,216,95,893,2448,68,645,1197,2323,83,367,30,21,2,75,63,59
Narayanganj DistrictDecember 2017,Narayanganj District,December 2017,295,80,55,24,592,4832,10,745,1071,1362,860,109,18,46,85,12,41,20
Narshingdi DistrictDecember 2017,Narshingdi District,December 2017,0,0,181,63,1292,7078,2,716,1230,2096,838,319,4,23,11,18,16,24
Manikganj DistrictDecember 2017,Manikganj District,December 2017,0,0,200,102,1359,1928,88,258,358,472,0,319,1,5,2,0,1,32
Tangail DistrictDecember 2017,Tangail District,December 2017,0,0,302,225,2999,9161,159,1711,2525,3587,2793,367,53,461,91,110,93,144
Kishoreganj DistrictDecember 2017,Kishoreganj District,December 2017,44,44,220,155,3363,4297,207,1592,2107,3372,278,292,140,186,36,128,95,158
Dhaka DivisionDecember 2017,Dhaka Division,December 2017,3215,621,3304,1962,21910,62571,2526,11272,15885,23831,103701,4484,3400,2049,518,1900,1475,1905
Barguna DistrictJanuary 2017,Barguna District,January 2017,65,36,471,444,1031,1792,247,676,887,1427,300,672,510,39,11,12,10,9
Patuakhali DistrictJanuary 2017,Patuakhali District,January 2017,54,10,343,245,1931,1022,0,934,1172,1765,331,927,113,40,6,12,19,24
Barisal DistrictJanuary 2017,Barisal District,January 2017,13,13,238,69,1787,6253,36,1031,1593,2413,183,489,31,186,24,99,81,603
Jhalakati DistrictJanuary 2017,Jhalakati District,January 2017,12,0,96,59,696,1435,0,289,340,834,11,145,31,37,27,31,27,54
Bhola DistrictJanuary 2017,Bhola District,January 2017,0,0,90,30,3421,2413,541,1060,1404,2130,60,313,86,3,0,26,29,17
Pirojpur DistrictJanuary 2017,Pirojpur District,January 2017,7,0,271,147,1846,2534,3,1047,1596,3640,27,499,50,71,14,28,36,32
Barisal DivisionJanuary 2017,Barisal Division,January 2017,151,59,1509,994,10712,15449,827,5037,6992,12209,912,3045,821,376,82,208,202,739
Barguna DistrictFebruary 2017,Barguna District,February 2017,23,0,135,177,1198,1659,113,467,839,1174,60,628,375,34,6,17,23,34
Patuakhali DistrictFebruary 2017,Patuakhali District,February 2017,36,0,317,235,1720,1223,4,763,1027,1752,17,1160,221,58,11,21,23,10
Barisal DistrictFebruary 2017,Barisal District,February 2017,33,10,170,64,2182,14027,124,853,1608,2505,69,277,140,210,10,139,93,286
Jhalakati DistrictFebruary 2017,Jhalakati District,February 2017,46,5,87,49,612,1033,45,208,115,501,20,113,19,35,11,46,33,61
Bhola DistrictFebruary 2017,Bhola District,February 2017,55,28,63,59,3215,2024,493,761,1085,1288,66,107,22,28,0,38,42,7
Pirojpur DistrictFebruary 2017,Pirojpur District,February 2017,13,0,272,132,1788,2487,23,1099,1644,3779,14,638,94,69,5,24,28,39
Barisal DivisionFebruary 2017,Barisal Division,February 2017,206,43,1044,716,10715,22453,802,4151,6318,10999,246,2923,871,434,43,285,242,437
Barguna DistrictMarch 2017,Barguna District,March 2017,26,,0,123,56,1387,2041,218,598,930,1435,256,765,309,31,0,22,26
Patuakhali DistrictMarch 2017,Patuakhali District,March 2017,46,0,333,256,1668,2285,36,670,864,1363,85,949,18,35,6,19,18,37
Barisal DistrictMarch 2017,Barisal District,March 2017,41,20,200,53,2281,4895,453,984,1657,2711,316,425,84,351,28,67,123,501
Jhalakati DistrictMarch 2017,Jhalakati District,March 2017,50,0,75,60,766,1203,43,155,73,401,33,147,1,31,4,27,26,36
Bhola DistrictMarch 2017,Bhola District,March 2017,0,0,79,99,4208,5356,370,963,1109,1222,35,290,62,29,8,42,26,24
Pirojpur DistrictMarch 2017,Pirojpur District,March 2017,23,0,274,135,2452,2499,7,812,1314,2445,10,655,69,73,5,16,19,34
Barisal DivisionMarch 2017,Barisal Division,March 2017,186,20,1084,659,12762,18279,1127,4182,5947,9577,735,3231,543,550,51,193,238,678
Barguna DistrictApril 2017,Barguna District,April 2017,22,0,425,445,1015,1832,342,527,1017,1449,279,491,69,41,8,13,10,24
Patuakhali DistrictApril 2017,Patuakhali District,April 2017,46,0,210,214,2013,1321,11,778,1119,1598,15,702,124,32,3,11,16,7
Barisal DistrictApril 2017,Barisal District,April 2017,39,16,261,62,2652,15538,428,1056,1679,2957,10,16089,40,48,10,35,96,90
Jhalakati DistrictApril 2017,Jhalakati District,April 2017,30,0,94,73,850,1249,5,201,85,867,0,136,13,34,3,16,19,33
Bhola DistrictApril 2017,Bhola District,April 2017,110,20,52,54,3016,4642,838,1245,1350,1636,65,382,25,6,3,53,36,25
Pirojpur DistrictApril 2017,Pirojpur District,April 2017,26,0,269,118,2183,3375,8,1298,1918,4125,33,639,55,83,9,24,40,67
Barisal DivisionApril 2017,Barisal Division,April 2017,273,36,1311,966,11729,27957,1632,5105,7168,12632,402,18439,326,244,36,152,217,246
Barguna DistrictMay 2017,Barguna District,May 2017,60,29,136,46,1180,1992,314,638,1105,1651,90,326,21,90,1,29,32,49
Patuakhali DistrictMay 2017,Patuakhali District,May 2017,32,24,310,188,2044,1811,54,843,1116,2187,4,644,36,40,9,17,14,29
Barisal DistrictMay 2017,Barisal District,May 2017,47,29,187,65,2754,11788,472,1043,1631,2512,175,580,235,70,21,38,17,44
Jhalakati DistrictMay 2017,Jhalakati District,May 2017,37,2,70,54,2009,1431,35,105,251,126,33,167,46,38,4,25,17,34
Bhola DistrictMay 2017,Bhola District,May 2017,40,0,65,29,4002,7481,427,1212,1446,1765,0,302,12,18,5,65,58,42
Pirojpur DistrictMay 2017,Pirojpur District,May 2017,32,0,250,133,1835,3295,12,1157,2032,4261,24,535,100,68,10,26,19,33
Barisal DivisionMay 2017,Barisal Division,May 2017,248,84,1018,515,13824,27798,1314,4998,7581,12502,326,2554,450,324,50,200,157,231
Barguna DistrictJune 2017,Barguna District,June 2017,31,23,125,74,1150,1537,426,715,978,1992,290,345,16,43,0,27,18,43
Patuakhali DistrictJune 2017,Patuakhali District,June 2017,28,0,247,190,1598,2104,0,1048,1189,1593,0,755,0,39,8,12,17,8
Barisal DistrictJune 2017,Barisal District,June 2017,34,20,270,67,2230,11011,417,1011,1644,2481,188,400,202,62,16,29,14,57
Jhalakati DistrictJune 2017,Jhalakati District,June 2017,21,0,86,29,2107,1216,31,148,322,99,37,161,40,25,5,16,26,31
Bhola DistrictJune 2017,Bhola District,June 2017,95,58,63,29,2558,5749,474,1365,1465,2166,20,298,31,27,13,56,36,40
Pirojpur DistrictJune 2017,Pirojpur District,June 2017,24,0,255,77,1744,2739,10,1050,1968,4439,5,450,58,38,3,21,28,29
Barisal DivisionJune 2017,Barisal Division,June 2017,233,101,1046,466,11387,24356,1358,5337,7566,12770,540,2409,347,234,45,161,139,208
Barguna DistrictJuly 2017,Barguna District,July 2017,55,22,108,68,2951,2156,415,474,995,1557,230,688,0,94,5,13,16,47
Patuakhali DistrictJuly 2017,Patuakhali District,July 2017,31,0,318,246,1934,2101,43,848,1228,2033,50,718,27,26,5,11,38,24
Barisal DistrictJuly 2017,Barisal District,July 2017,32,14,224,65,2545,5810,400,954,1505,2596,178,572,216,72,20,58,21,68
Jhalakati DistrictJuly 2017,Jhalakati District,July 2017,4,0,62,69,2165,1364,36,167,285,128,22,195,30,22,5,16,11,19
Bhola DistrictJuly 2017,Bhola District,July 2017,95,45,64,59,2936,4723,610,891,1187,1465,114,534,47,376,2,71,48,46
Pirojpur DistrictJuly 2017,Pirojpur District,July 2017,38,2,255,125,2015,2819,23,1093,2021,4489,6,837,136,70,3,33,19,41
Barisal DivisionJuly 2017,Barisal Division,July 2017,255,83,1031,632,14546,18973,1527,4427,7221,12268,600,3544,456,660,40,202,153,245
Barguna DistrictAugust 2017,Barguna District,August 2017,29,0,138,428,2551,2177,385,610,1052,1828,5,420,2,62,1,23,10,43
Patuakhali DistrictAugust 2017,Patuakhali District,August 2017,50,0,180,121,2231,2064,31,877,1200,2123,10,788,94,64,8,24,58,66
Barisal DistrictAugust 2017,Barisal District,August 2017,67,36,243,68,2521,8752,425,912,1573,2573,4438,524,38,89,16,36,17,85
Jhalakati DistrictAugust 2017,Jhalakati District,August 2017,50,0,93,64,2043,1291,0,169,311,147,24,208,19,52,13,19,17,29
Bhola DistrictAugust 2017,Bhola District,August 2017,0,0,96,43,3361,7475,689,1199,1360,1972,12,321,37,27,2,53,40,44
Pirojpur DistrictAugust 2017,Pirojpur District,August 2017,67,5,268,108,1985,2479,211,1103,1797,4006,73682,473,37,46,15,20,19,42
Barisal DivisionAugust 2017,Barisal Division,August 2017,263,41,1018,832,14692,24238,1741,4870,7293,12649,78171,2734,227,340,55,175,161,309
Barguna DistrictSeptember 2017,Barguna District,September 2017,0,0,95,98,2347,3055,1250,937,1215,1924,25,261,8,94,1,22,49,56
Patuakhali DistrictSeptember 2017,Patuakhali District,September 2017,47,27,332,246,2273,2152,50,802,1283,2354,42,730,16,68,15,24,55,44
Barisal DistrictSeptember 2017,Barisal District,September 2017,58,14,243,752,2806,8755,379,1081,1514,2545,237,676,153,61,18,27,16,56
Jhalakati DistrictSeptember 2017,Jhalakati District,September 2017,50,0,104,59,1678,1389,17,252,343,157,23,145,27,49,10,16,13,43
Bhola DistrictSeptember 2017,Bhola District,September 2017,0,0,67,57,3693,6643,339,1067,1281,1509,8935,832,241,396,8,52,61,55
Pirojpur DistrictSeptember 2017,Pirojpur District,September 2017,55,0,252,94,1969,2682,25,1223,2059,4426,26,782,65,89,20,21,18,26
Barisal DivisionSeptember 2017,Barisal Division,September 2017,210,41,1093,1306,14766,24676,2060,5362,7695,12915,9288,3426,510,757,72,162,212,280
Barguna DistrictOctober 2017,Barguna District,October 2017,0,0,111,55,2751,2012,380,793,1180,2414,42,201,4,60,1,17,68,42
Patuakhali DistrictOctober 2017,Patuakhali District,October 2017,52,0,181,112,2330,1861,18,1086,1366,2055,27,510,19,81,6,16,61,50
Barisal DistrictOctober 2017,Barisal District,October 2017,96,54,196,75,2531,10194,410,1496,2257,4071,276,449,208,109,15,30,35,61
Jhalakati DistrictOctober 2017,Jhalakati District,October 2017,245,99,66,57,1490,1068,22,177,307,179,26,112,37,45,9,16,7,37
Bhola DistrictOctober 2017,Bhola District,October 2017,0,0,112,39,4092,7194,366,1251,1629,1652,45,807,53,19,23,56,42,27
Pirojpur DistrictOctober 2017,Pirojpur District,October 2017,68,0,265,108,2300,2915,0,1287,2148,4619,113,725,90,74,10,18,30,53
Barisal DivisionOctober 2017,Barisal Division,October 2017,461,153,931,446,15494,25244,1196,6090,8887,14990,529,2804,411,388,64,153,243,270
Barguna DistrictNovember 2017,Barguna District,November 2017,31,0,131,81,4170,1781,221,887,1196,2002,0,344,0,106,2,19,16,61
Patuakhali DistrictNovember 2017,Patuakhali District,November 2017,45,0,156,77,1959,1857,0,975,1217,2202,0,586,16,50,10,39,43,43
Barisal DistrictNovember 2017,Barisal District,November 2017,34,9,249,85,3956,8446,347,1139,1751,2746,201,459,216,69,12,34,25,59
Jhalakati DistrictNovember 2017,Jhalakati District,November 2017,40,0,64,74,1564,1110,25,249,419,272,37,136,25,35,6,16,7,25
Bhola DistrictNovember 2017,Bhola District,November 2017,0,0,97,45,4391,6442,636,1138,1467,1632,36,238,4,7,1,7,43,61
Pirojpur DistrictNovember 2017,Pirojpur District,November 2017,56,37,277,112,2138,2969,16,1447,2138,4619,14,836,17,86,8,26,37,44
Barisal DivisionNovember 2017,Barisal Division,November 2017,206,46,974,474,18178,22605,1245,5835,8188,13473,288,2599,278,353,39,141,171,293
Barguna DistrictDecember 2017,Barguna District,December 2017,0,0,117,99,3696,1653,425,765,1096,2097,60,113,14,90,11,24,20,147
Patuakhali DistrictDecember 2017,Patuakhali District,December 2017,48,0,174,58,2567,1386,105,795,1007,1798,89,291,0,58,10,21,53,77
Barisal DistrictDecember 2017,Barisal District,December 2017,36,15,241,73,3598,5705,540,1118,1733,2811,735,533,277,48,20,43,27,77
Jhalakati DistrictDecember 2017,Jhalakati District,December 2017,33,0,64,42,1937,1139,24,408,413,256,58,116,12,53,7,14,16,32
Bhola DistrictDecember 2017,Bhola District,December 2017,0,0,88,40,3556,4854,552,1824,2358,3805,166,161,34,14,0,15,55,68
Pirojpur DistrictDecember 2017,Pirojpur District,December 2017,68,51,244,112,2486,2351,198,1413,2068,4168,86831,789,28,56,8,20,23,35
Barisal DivisionDecember 2017,Barisal Division,December 2017,185,66,928,424,17840,17088,1844,6323,8675,14935,87939,2003,365,319,56,137,194,436
Kustia DistrictJanuary 2017,Kustia District,January 2017,33,0,219,37,1691,4139,53,584,701,1392,96,605,2254,229,5,30,25,49
Meherpur DistrictJanuary 2017,Meherpur District,January 2017,42,0,51,40,508,643,0,24,83,175,0,63,20,0,0,0,0,0
Chuadanga DistrictJanuary 2017,Chuadanga District,January 2017,0,0,96,63,1208,3018,141,1335,1909,3271,368,652,147,82,16,79,86,159
Jhenaidaha DistrictJanuary 2017,Jhenaidaha District,January 2017,36,18,183,97,1993,3375,34,16,0,0,12,413,46,9,10,4,0,18
Magura DistrictJanuary 2017,Magura District,January 2017,41,0,157,43,853,1772,0,641,1032,2500,0,351,45,65,10,12,22,17
Narail DistrictJanuary 2017,Narail District,January 2017,0,0,116,51,9534,2138,946,2186,2492,8953,0,326,61,25,10,21,21,22
Jessore DistrictJanuary 2017,Jessore District,January 2017,413,381,271,91,2598,18215,296,3164,4395,6646,60,951,95,113,41,139,143,94
Khulna DistrictJanuary 2017,Khulna District,January 2017,1583,54,232,86,4293,6236,624,560,2780,3844,273,944,391,119,30,40,99,146
Bagerhat DistrictJanuary 2017,Bagerhat District,January 2017,5,0,153,89,1314,2181,130,247,469,870,60,279,15,63,14,54,32,64
Satkhira DistrictJanuary 2017,Satkhira District,January 2017,76,0,212,70,3061,6040,1665,2681,4082,13905,52,1493,101,91,2,24,34,60
Khulna DivisionJanuary 2017,Khulna Division,January 2017,2229,453,1690,667,27053,47757,3889,11438,17943,41556,921,6077,3175,796,138,403,462,629
Kustia DistrictFebruary 2017,Kustia District,February 2017,90,211,228,71,1308,3556,65,590,991,1801,131,573,20,33,8,18,31,31
Meherpur DistrictFebruary 2017,Meherpur District,February 2017,21,0,47,26,465,548,0,65,90,171,54,58,18,0,0,0,0,0
Chuadanga DistrictFebruary 2017,Chuadanga District,February 2017,43,0,78,91,691,2490,135,1281,2128,3258,87,559,76,178,17,140,97,86
Jhenaidaha DistrictFebruary 2017,Jhenaidaha District,February 2017,28,14,181,89,2161,2781,89,23,0,0,0,540,15,17,4,11,10,5
Magura DistrictFebruary 2017,Magura District,February 2017,39,0,149,67,1527,1755,12,676,973,2435,0,302,33,89,5,18,18,25
Narail DistrictFebruary 2017,Narail District,February 2017,3,0,84,52,4610,3140,779,2234,2710,9013,17,321,24,31,10,23,20,21
Jessore DistrictFebruary 2017,Jessore District,February 2017,421,215,324,63,2438,12905,168,2679,3624,5361,74,738,71,128,34,11,88,227
