Sl no,District,Month,No. of Female patient (Indoor admission),No. of Child patient (Indoor admission),No. of BCC,BCC performed by SACMO,"Counseling on IYCF, IFA, Vitamin-A & Hand washing",Received IFA (Pregnant & Child mother),Received MNP Sachet (6-23 months),Breast feeding within 1-hour of birth (0-<6 months child),Exclusive Breast feeding up to 6 months,Complimentary feeding after 6 months,Feeding Tablet Vitamin A (6-59months Child),Received Tablet anti-helminthics (24-59months Child),Feeding Zink pill with ORS suffering form diarrhoea,Identifying Suffering from MAM,Suffering from SAM & Referred,Identifying Child Stunting,Identifying Child Wasting,Identifying Child Under weight
Pabna DistrictDecember 2017,Pabna District,December 2017,130,0,260,78,3859,4606,11,1198,1709,3729,168,463,5,165,10,58,46,102
Serajganj DistrictDecember 2017,Serajganj District,December 2017,181,0,208,151,1893,6506,277,1048,1176,2141,1488,397,86,58,19,64,68,86
Rajshahi DivisionDecember 2017,Rajshahi Division,December 2017,837,74,3133,881,20491,40866,1840,8107,11470,19747,2122,3923,530,588,125,623,471,537
Jamalpur DistrictJanuary 2017,Jamalpur District,January 2017,284,214,325,247,1970,4606,1254,2383,2274,6409,25,721,330,159,291,161,96,179
Sherpur DistrictJanuary 2017,Sherpur District,January 2017,0,0,21,57,731,2050,884,606,939,1243,529,526,312,302,132,59,28,34
Mymensingh DistrictJanuary 2017,Mymensingh District,January 2017,126,57,361,188,2325,6833,28,830,1140,2005,279,1294,210,115,15,201,155,176
Netrokona DistrictJanuary 2017,Netrokona District,January 2017,63,0,93,336,1910,6796,1402,1617,1724,2814,256,755,140,160,2,58,35,52
Mymensingh DivisionJanuary 2017,Mymensingh Division,January 2017,473,271,800,828,6936,20285,3568,5436,6077,12471,1089,3296,992,736,440,479,314,441
Jamalpur DistrictFebruary 2017,Jamalpur District,February 2017,282,222,309,174,3471,4087,794,2134,2211,7185,587,906,192,150,207,100,78,78
Sherpur DistrictFebruary 2017,Sherpur District,February 2017,760,816,641,140,479,3643,224,652,933,1130,434,370,71,26,17,21,17,34
Mymensingh DistrictFebruary 2017,Mymensingh District,February 2017,67,5,384,278,3029,5477,24,894,1205,2557,6,1714,171,185,20,209,172,257
Netrokona DistrictFebruary 2017,Netrokona District,February 2017,0,0,100,48,1206,5112,124,1274,1801,2575,42,1142,65,83,12,28,16,50
Mymensingh DivisionFebruary 2017,Mymensingh Division,February 2017,1109,1043,1434,640,8185,18319,1166,4954,6150,13447,1069,4132,499,444,256,358,283,419
Jamalpur DistrictMarch 2017,Jamalpur District,March 2017,291,198,298,155,2849,5406,836,1712,1807,5958,13,714,210,147,300,153,98,177
Sherpur DistrictMarch 2017,Sherpur District,March 2017,0,0,39,35,387,2103,112,1561,742,1316,209,445,34,47,1,23,16,31
Mymensingh DistrictMarch 2017,Mymensingh District,March 2017,62,1,372,258,3401,6282,24,1031,1290,2482,120,1761,181,127,31,211,175,251
